treatment,well_nr,sample_nr,date,timepoint,description ,variable,value,std_dev
ASW,ASW-1,NA,2021-11-03,T0,ASW,wet_weight(g),0.0049,NA
ASW,ASW-2,NA,2021-11-03,T0,ASW,wet_weight(g),0.0059,NA
ASW,ASW-3,NA,2021-11-03,T0,ASW,wet_weight(g),0.0036,NA
ASW,ASW-4,NA,2021-11-03,T0,ASW,wet_weight(g),0.004,NA
ASW,ASW-5,NA,2021-11-03,T0,ASW,wet_weight(g),0.0057,NA
ASW,ASW-6,NA,2021-11-03,T0,ASW,wet_weight(g),0.0047,NA
ABS1,ABS1-1,NA,2021-11-03,T0,ASW,wet_weight(g),0.0043,NA
ABS1,ABS1-2,NA,2021-11-03,T0,ASW,wet_weight(g),0.0045,NA
ABS1,ABS1-3,NA,2021-11-03,T0,ASW,wet_weight(g),0.0053,NA
ABS1,ABS1-4,NA,2021-11-03,T0,ASW,wet_weight(g),0.0043,NA
ABS1,ABS1-5,NA,2021-11-03,T0,ASW,wet_weight(g),0.0039,NA
ABS1,ABS1-6,NA,2021-11-03,T0,ASW,wet_weight(g),0.0051,NA
ABS2,ABS2-1,NA,2021-11-03,T0,ASW,wet_weight(g),0.0054,NA
ABS2,ABS2-2,NA,2021-11-03,T0,ASW,wet_weight(g),0.0034,NA
ABS2,ABS2-3,NA,2021-11-03,T0,ASW,wet_weight(g),0.0078,NA
ABS2,ABS2-4,NA,2021-11-03,T0,ASW,wet_weight(g),0.004,NA
ABS2,ABS2-5,NA,2021-11-03,T0,ASW,wet_weight(g),0.0049,NA
ABS2,ABS2-6,NA,2021-11-03,T0,ASW,wet_weight(g),0.0058,NA
ASW,ASW-1,NA,2021-12-06,T1,ASW,wet_weight(g),0.0294,NA
ASW,ASW-2,NA,2021-12-06,T1,ASW,wet_weight(g),0.0259,NA
ASW,ASW-3,NA,2021-12-06,T1,ASW,wet_weight(g),0.0329,NA
ASW,ASW-4,NA,2021-12-06,T1,ASW,wet_weight(g),0.0227,NA
ASW,ASW-5,NA,2021-12-06,T1,ASW,wet_weight(g),0.0239,NA
ASW,ASW-6,NA,2021-12-06,T1,ASW,wet_weight(g),0.0229,NA
ABS1,ABS1-1,NA,2021-12-06,T1,FASW,wet_weight(g),0.0226,NA
ABS1,ABS1-2,NA,2021-12-06,T1,FASW,wet_weight(g),0.0156,NA
ABS1,ABS1-3,NA,2021-12-06,T1,FASW,wet_weight(g),0.019,NA
ABS1,ABS1-4,NA,2021-12-06,T1,FASW,wet_weight(g),0.0183,NA
ABS1,ABS1-5,NA,2021-12-06,T1,FASW,wet_weight(g),0.0198,NA
ABS1,ABS1-6,NA,2021-12-06,T1,FASW,wet_weight(g),0.0189,NA
ABS2,ABS2-1,NA,2021-12-06,T1,FASW,wet_weight(g),0.014,NA
ABS2,ABS2-2,NA,2021-12-06,T1,FASW,wet_weight(g),0.0288,NA
ABS2,ABS2-3,NA,2021-12-06,T1,FASW,wet_weight(g),0.0213,NA
ABS2,ABS2-4,NA,2021-12-06,T1,FASW,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2021-12-06,T1,FASW,wet_weight(g),0.025,NA
ABS2,ABS2-6,NA,2021-12-06,T1,FASW,wet_weight(g),0.0177,NA
ASW,ASW-1,NA,2021-12-14,T2,ASW,wet_weight(g),0.0153,NA
ASW,ASW-2,NA,2021-12-14,T2,ASW,wet_weight(g),0.02,NA
ASW,ASW-3,NA,2021-12-14,T2,ASW,wet_weight(g),0.0266,NA
ASW,ASW-4,NA,2021-12-14,T2,ASW,wet_weight(g),0.0071,NA
ASW,ASW-5,NA,2021-12-14,T2,ASW,wet_weight(g),0.0223,NA
ASW,ASW-6,NA,2021-12-14,T2,ASW,wet_weight(g),0.0187,NA
ABS1,ABS1-1,NA,2021-12-14,T2,ABS1-7d,wet_weight(g),0.0144,NA
ABS1,ABS1-2,NA,2021-12-14,T2,ABS1-7d,wet_weight(g),0.0028,NA
ABS1,ABS1-3,NA,2021-12-14,T2,ABS1-7d,wet_weight(g),0.0179,NA
ABS1,ABS1-4,NA,2021-12-14,T2,ABS1-7d,wet_weight(g),0.0169,NA
ABS1,ABS1-5,NA,2021-12-14,T2,ABS1-7d,wet_weight(g),0.0049,NA
ABS1,ABS1-6,NA,2021-12-14,T2,ABS1-7d,wet_weight(g),0.0138,NA
ABS2,ABS2-1,NA,2021-12-14,T2,ABS2-7d,wet_weight(g),0.0073,NA
ABS2,ABS2-2,NA,2021-12-14,T2,ABS2-7d,wet_weight(g),0.0214,NA
ABS2,ABS2-3,NA,2021-12-14,T2,ABS2-7d,wet_weight(g),0.0151,NA
ABS2,ABS2-4,NA,2021-12-14,T2,ABS2-7d,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2021-12-14,T2,ABS2-7d,wet_weight(g),0.0136,NA
ABS2,ABS2-6,NA,2021-12-14,T2,ABS2-7d,wet_weight(g),0.0129,NA
ASW,ASW-1,NA,2021-12-21,T3,ASW,wet_weight(g),0.0222,NA
ASW,ASW-2,NA,2021-12-21,T3,ASW,wet_weight(g),0.0297,NA
ASW,ASW-3,NA,2021-12-21,T3,ASW,wet_weight(g),0.0277,NA
ASW,ASW-4,NA,2021-12-21,T3,ASW,wet_weight(g),0.013,NA
ASW,ASW-5,NA,2021-12-21,T3,ASW,wet_weight(g),0.0357,NA
ASW,ASW-6,NA,2021-12-21,T3,ASW,wet_weight(g),0.026,NA
ABS1,ABS1-1,NA,2021-12-21,T3,ABS1-14d,wet_weight(g),0.0136,NA
ABS1,ABS1-2,NA,2021-12-21,T3,ABS1-14d,wet_weight(g),0.0031,NA
ABS1,ABS1-3,NA,2021-12-21,T3,ABS1-14d,wet_weight(g),0.0063,NA
ABS1,ABS1-4,NA,2021-12-21,T3,ABS1-14d,wet_weight(g),0.0117,NA
ABS1,ABS1-5,NA,2021-12-21,T3,ABS1-14d,wet_weight(g),0.0139,NA
ABS1,ABS1-6,NA,2021-12-21,T3,ABS1-14d,wet_weight(g),0.0149,NA
ABS2,ABS2-1,NA,2021-12-21,T3,ABS2-14d,wet_weight(g),0.0126,NA
ABS2,ABS2-2,NA,2021-12-21,T3,ABS2-14d,wet_weight(g),0.0234,NA
ABS2,ABS2-3,NA,2021-12-21,T3,ABS2-14d,wet_weight(g),0.0226,NA
ABS2,ABS2-4,NA,2021-12-21,T3,ABS2-14d,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2021-12-21,T3,ABS2-14d,wet_weight(g),0.0228,NA
ABS2,ABS2-6,NA,2021-12-21,T3,ABS2-14d,wet_weight(g),0.0123,NA
ASW,ASW-1,NA,2022-01-04,T5,ASW,wet_weight(g),0.0082,NA
ASW,ASW-2,NA,2022-01-04,T5,ASW,wet_weight(g),0.0194,NA
ASW,ASW-3,NA,2022-01-04,T5,ASW,wet_weight(g),NA,NA
ASW,ASW-4,NA,2022-01-04,T5,ASW,wet_weight(g),0.0101,NA
ASW,ASW-5,NA,2022-01-04,T5,ASW,wet_weight(g),0.0097,NA
ASW,ASW-6,NA,2022-01-04,T5,ASW,wet_weight(g),0.0051,NA
ABS1,ABS1-1,NA,2022-01-04,T5,ABS1-21d-7d-FASW,wet_weight(g),0.0017,NA
ABS1,ABS1-2,NA,2022-01-04,T5,ABS1-21d-7d-FASW,wet_weight(g),0.0029,NA
ABS1,ABS1-3,NA,2022-01-04,T5,ABS1-21d-7d-FASW,wet_weight(g),0.0058,NA
ABS1,ABS1-4,NA,2022-01-04,T5,ABS1-21d-7d-FASW,wet_weight(g),NA,NA
ABS1,ABS1-5,NA,2022-01-04,T5,ABS1-21d-7d-FASW,wet_weight(g),0.0013,NA
ABS1,ABS1-6,NA,2022-01-04,T5,ABS1-21d-7d-FASW,wet_weight(g),0.0035,NA
ABS2,ABS2-1,NA,2022-01-04,T5,ABS2-21d-7d-FASW,wet_weight(g),0.0078,NA
ABS2,ABS2-2,NA,2022-01-04,T5,ABS2-21d-7d-FASW,wet_weight(g),0.0088,NA
ABS2,ABS2-3,NA,2022-01-04,T5,ABS2-21d-7d-FASW,wet_weight(g),0.0079,NA
ABS2,ABS2-4,NA,2022-01-04,T5,ABS2-21d-7d-FASW,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2022-01-04,T5,ABS2-21d-7d-FASW,wet_weight(g),0.0067,NA
ABS2,ABS2-6,NA,2022-01-04,T5,ABS2-21d-7d-FASW,wet_weight(g),0.0054,NA
ASW,ASW-1,NA,2022-01-11,T6,ASW,wet_weight(g),0.0064,NA
ASW,ASW-2,NA,2022-01-11,T6,ASW,wet_weight(g),0.013,NA
ASW,ASW-3,NA,2022-01-11,T6,ASW,wet_weight(g),NA,NA
ASW,ASW-4,NA,2022-01-11,T6,ASW,wet_weight(g),0.0124,NA
ASW,ASW-5,NA,2022-01-11,T6,ASW,wet_weight(g),0.0099,NA
ASW,ASW-6,NA,2022-01-11,T6,ASW,wet_weight(g),0.0048,NA
ABS1,ABS1-1,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),0.0055,NA
ABS1,ABS1-2,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),0.0025,NA
ABS1,ABS1-3,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),0.0036,NA
ABS1,ABS1-4,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),NA,NA
ABS1,ABS1-5,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),0.0017,NA
ABS1,ABS1-6,NA,2022-01-11,T6,ABS1-21d-14d-FASW,wet_weight(g),0.0043,NA
ABS2,ABS2-1,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0043,NA
ABS2,ABS2-2,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0111,NA
ABS2,ABS2-3,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0131,NA
ABS2,ABS2-4,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.0035,NA
ABS2,ABS2-6,NA,2022-01-11,T6,ABS2-21d-14d-FASW,wet_weight(g),0.009,NA
ASW,ASW-1,NA,2021-12-28,T4,ASW,wet_weight(g),0.0238,NA
ASW,ASW-2,NA,2021-12-28,T4,ASW,wet_weight(g),0.0402,NA
ASW,ASW-3,NA,2021-12-28,T4,ASW,wet_weight(g),0.036,NA
ASW,ASW-4,NA,2021-12-28,T4,ASW,wet_weight(g),0.0169,NA
ASW,ASW-5,NA,2021-12-28,T4,ASW,wet_weight(g),0.0483,NA
ASW,ASW-6,NA,2021-12-28,T4,ASW,wet_weight(g),0.0392,NA
ABS1,ABS1-1,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0257,NA
ABS1,ABS1-2,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0012,NA
ABS1,ABS1-3,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0055,NA
ABS1,ABS1-4,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0088,NA
ABS1,ABS1-5,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.0133,NA
ABS1,ABS1-6,NA,2021-12-28,T4,ABS1-21d,wet_weight(g),0.016,NA
ABS2,ABS2-1,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0267,NA
ABS2,ABS2-2,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0082,NA
ABS2,ABS2-3,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0225,NA
ABS2,ABS2-4,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),NA,NA
ABS2,ABS2-5,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0166,NA
ABS2,ABS2-6,NA,2021-12-28,T4,ABS2-21d,wet_weight(g),0.0396,NA
ASW,ASW-1,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-2,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-3,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-4,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-5,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-6,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-1,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-2,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-3,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-4,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-5,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS1-6,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-1,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-2,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-3,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-4,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-5,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ABS2-6,NA,2021-11-05,baseline,ASW,pedal_lacerates,0,NA
ASW,ASW-1,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-2,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-3,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-4,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-5,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-6,NA,2021-11-12,pre-treatment,ASW,pedal_lacerates,0,NA
ABS1,ABS1-1,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-2,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-3,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-4,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-5,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-6,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-1,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-2,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-3,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-4,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-5,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-6,NA,2021-11-12,pre-treatment,FASW,pedal_lacerates,0,NA
ASW,ASW-1,NA,2021-11-18,pre-treatment,ASW,pedal_lacerates,1,NA
ASW,ASW-2,NA,2021-11-18,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-3,NA,2021-11-18,pre-treatment,ASW,pedal_lacerates,1,NA
ASW,ASW-4,NA,2021-11-18,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-5,NA,2021-11-18,pre-treatment,ASW,pedal_lacerates,1,NA
ASW,ASW-6,NA,2021-11-18,pre-treatment,ASW,pedal_lacerates,1,NA
ABS1,ABS1-1,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,1,NA
ABS1,ABS1-2,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-3,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-4,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,1,NA
ABS1,ABS1-5,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-6,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,2,NA
ABS2,ABS2-1,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-2,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,1,NA
ABS2,ABS2-3,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,1,NA
ABS2,ABS2-4,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,NA,NA
ABS2,ABS2-5,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-6,NA,2021-11-18,pre-treatment,FASW,pedal_lacerates,0,NA
ASW,ASW-1,NA,2021-11-29,pre-treatment,ASW,pedal_lacerates,4,NA
ASW,ASW-2,NA,2021-11-29,pre-treatment,ASW,pedal_lacerates,1,NA
ASW,ASW-3,NA,2021-11-29,pre-treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-4,NA,2021-11-29,pre-treatment,ASW,pedal_lacerates,2,NA
ASW,ASW-5,NA,2021-11-29,pre-treatment,ASW,pedal_lacerates,1,NA
ASW,ASW-6,NA,2021-11-29,pre-treatment,ASW,pedal_lacerates,0,NA
ABS1,ABS1-1,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,2,NA
ABS1,ABS1-2,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,2,NA
ABS1,ABS1-3,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-4,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,0,NA
ABS1,ABS1-5,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,1,NA
ABS1,ABS1-6,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-1,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,0,NA
ABS2,ABS2-2,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,1,NA
ABS2,ABS2-3,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,1,NA
ABS2,ABS2-4,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,NA,NA
ABS2,ABS2-5,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,1,NA
ABS2,ABS2-6,NA,2021-11-29,pre-treatment,FASW,pedal_lacerates,0,NA
ASW,ASW-1,NA,2021-12-10,treatment,ASW,pedal_lacerates,1,NA
ASW,ASW-2,NA,2021-12-10,treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-3,NA,2021-12-10,treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-4,NA,2021-12-10,treatment,ASW,pedal_lacerates,0,NA
ASW,ASW-5,NA,2021-12-10,treatment,ASW,pedal_lacerates,1,NA
ASW,ASW-6,NA,2021-12-10,treatment,ASW,pedal_lacerates,1,NA
ABS1,ABS1-1,NA,2021-12-10,treatment,ABS1,pedal_lacerates,0,NA
ABS1,ABS1-2,NA,2021-12-10,treatment,ABS1,pedal_lacerates,0,NA
ABS1,ABS1-3,NA,2021-12-10,treatment,ABS1,pedal_lacerates,0,NA
